provider_id,provider_name,entity_type,hq_country,provider_website,system_family,system_category,modality,access,license_or_terms,open_weights,model_family_source_url,notes,last_verified_utc
bigscience, BigScience, consortium, France, https://bigscience.huggingface.co/, BLOOM, LLM, text, Open weights, RII License (RAIL variant)/BigScience OpenRAIL-M, Yes, https://huggingface.co/bigscience/bloom,Model card (Hugging Face); see huggingface.co,2025-07-09T12:00:00Z
openai, OpenAI, company, USA, https://openai.com/, GPT-4o / o1 / o3 / GPT-4 family, LLM (multimodal)," ""text,image,video,audio""", API + Apps, OpenAI Terms of Use, No, https://openai.com/index/gpt-4o-system-card/,Official system card; see openai.com,2025-07-11T05:17:56Z
google, Google (DeepMind), company, USA, https://ai.google/, Gemini (Ultra/Pro/Nano/Flash), LLM (multimodal)," ""text,image,video,audio""", API + Apps; some open weights (Gemma), Google Terms; Gemma license, Partial, https://ai.google.dev/gemini-api/docs/models/gemini,Official model docs (Google); see ai.google.dev,2025-07-10T23:24:17Z
anthropic, Anthropic, company, USA, https://www.anthropic.com/, Claude 3.x / 4.x Sonnet/Opus/Haiku, LLM (multimodal)," ""text,image""", API + Apps, Anthropic Terms of Service, No, https://www.anthropic.com/claude,Product page / model cards (Anthropic); see www.anthropic.com,2025-07-09T14:12:46Z
meta, Meta, company, USA, https://ai.meta.com/, Llama 3.x, LLM, text, Open weights; hosted APIs, Llama 3 license, Yes, https://ai.meta.com/llama/,Model family hub (Meta); see ai.meta.com,2025-07-12T04:08:43Z
databricks, Databricks, company, USA, https://www.databricks.com/, DBRX, LLM, text, Open weights + API, Databricks Open Model License (Dbrx-OML), Yes, https://www.databricks.com/blog/introducing-dbrx,Announcement / model card (Databricks); see www.databricks.com,2025-07-13T18:35:06Z
stability, Stability AI, company, UK, https://stability.ai/, Stable Diffusion (SDXL/3), Diffusion (image), image, Open weights + API, CreativeML/OpenRAIL, Yes, https://huggingface.co/stabilityai,Model card (Hugging Face); see huggingface.co,2025-07-12T12:18:49Z
alibaba, Alibaba Cloud, company, China, https://www.alibabacloud.com/, Qwen (Qwen2.5/Qwen3), LLM (and VLM)," ""text,image""", Open weights + API, Qwen License, Yes, https://qwenlm.ai/,Model family site (Qwen); see qwenlm.ai,2025-07-12T14:52:50Z
cohere, Cohere, company, Canada, https://cohere.com/, Command / Embed / Rerank, LLM + Embeddings, text, API, Cohere Terms, No, https://docs.cohere.com/docs/models,Model docs (Cohere); see docs.cohere.com,2025-07-15T17:56:31Z
deepseek, DeepSeek, company, China, https://deepseek.com/, DeepSeek-V3 / DeepSeek-R1, LLM, text, Open weights + API, DeepSeek License, Partial, https://github.com/deepseek-ai/DeepSeek-R1,Repository / weights; see github.com,2025-07-15T12:12:01Z
microsoft, Microsoft, company, USA, https://www.microsoft.com/ai, Phi 3/4 family, LLM (small), text, Open weights + Azure API, MIT-like/Custom (varies), Partial, https://learn.microsoft.com/azure/ai-services/phi-3/family,Primary source; see learn.microsoft.com,2025-07-13T21:23:07Z
ai2, Allen Institute for AI (AI2), non-profit, USA, https://allenai.org/, OLMo, LLM, text, Open weights, Apache-2.0, Yes, https://allenai.org/olmo,Primary source; see allenai.org,2025-07-14T22:18:23Z
eleutherai, EleutherAI, non-profit, International, https://www.eleuther.ai/, GPT‑NeoX / GPT-J, LLM, text, Open weights, Apache-2.0, Yes, https://huggingface.co/EleutherAI/gpt-neox-20b,Model card (Hugging Face); see huggingface.co,2025-07-17T10:10:37Z
01-ai, 01.AI, company, China, https://01.ai/, Yi family, LLM, text, Open weights + API, Apache-2.0/custom, Partial, https://github.com/01-ai/Yi,Repository / weights; see github.com,2025-07-16T15:09:45Z
apple, Apple, company, USA, https://machinelearning.apple.com/, OpenELM / MLX community models, LLM (small), text, Open weights (OpenELM), Apple OpenELM License, Yes, https://github.com/apple/ml-openelm,Repository / weights; see github.com,2025-07-15T09:17:07Z
baidu, Baidu, company, China, https://ai.baidu.com/, ERNIE Bot (Wenxin Yiyan), LLM (multimodal)," ""text,image""", API + Apps, Baidu Terms, No, https://yiyan.baidu.com/,Primary source; see yiyan.baidu.com,2025-07-17T15:57:13Z
perplexity, Perplexity, company, USA, https://www.perplexity.ai/, pplx-70b / pplx-7b (hosted), LLM, text, API, Perplexity Terms, No, https://docs.perplexity.ai/guides/models,Primary source; see docs.perplexity.ai,2025-07-20T06:36:23Z
adobe, Adobe, company, USA, https://www.adobe.com/, Firefly, Diffusion (image/text effects), image, API + Apps, Adobe Terms, No, https://www.adobe.com/sensei/generative-ai/firefly.html,Primary source; see www.adobe.com,2025-07-17T17:08:28Z
